Vehicle #,Vehicle Model,Vehicle Serial #,Engine Make,Engine Hours,Engine Model,Engine RPM,Alternator RPM,Engine HP,Alternator HP,Left-CO2%,Left-CO,Left-NOx,Right-CO2%,Right-CO,Right-NOX,Location,Company,Test Date
Drill 19,Drill 19,95Y01084,CAT,5000.32,3508,1800,,688,,6.9,299,980,0,0,0,Black Thunder,Arch Coal,5/28/2019
Drill 28,Drill 28,95Y01184,CAT,23400.32,3508,1800,,688,,6.9,217,917,0,0,0,Black Thunder,Arch Coal,5/28/2019
Drill 25,Drill 25,97Y00735,CAT,26.329,3508,1800,,688,,6.9,202,970,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 19,Drill 19,95Y01084,CAT,5077.404,3508,1800,,688,,6.9,319,981,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 19,Drill 19,95Y01084,CAT,5077.404,3508,1800,,688,,6.9,281,870,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 25,Drill 25,97Y00735,CAT,146.404,3508,1800,,688,,6.9,230,896,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 25,Drill 25,97Y00735,CAT,146.404,3508,1800,,688,,6.9,212,902,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 28,Drill 28,95Y01184,CAT,23484.404,3508,1800,,688,,6.9,213,840,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 28,Drill 28,95Y01184,CAT,23484.404,3508,1800,,688,,6.9,195,850,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 19,Drill 19,95Y01084,CAT,7074.411,3508,1800,,688,,6.9,219,930,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 19,Drill 19,95Y01084,CAT,7074.411,3508,1800,,688,,6.9,201,915,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 25,Drill 25,97Y00735,CAT,212.411,3508,1800,,688,,6.9,171,931,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 25,Drill 25,97Y00735,CAT,212.411,3508,1800,,688,,6.9,155,890,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 28,Drill 28,95Y01184,CAT,23504.411,3508,1800,,688,,6.9,141,850,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 28,Drill 28,95Y01184,CAT,23504.411,3508,1800,,688,,6.9,128,850,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 19,Drill 19,95Y01084,CAT,7188.417,3508,1800,,688,,6.9,246,959,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 19,Drill 19,95Y01084,CAT,7188.417,3508,1800,,688,,6.9,246,959,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 19,Drill 19,95Y01084,CAT,7188.417,3508,1800,,688,,6.9,234,961,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 25,Drill 25,97Y00735,CAT,212.417,3508,1800,,688,,6.9,214,978,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 25,Drill 25,97Y00735,CAT,212.417,3508,1800,,688,,6.9,217,948,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 28,Drill 28,95Y01184,CAT,23594.417,3508,1800,,688,,6.9,203,852,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 28,Drill 28,95Y01184,CAT,23594,3508,1800,,688,,6.9,199,851,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 19,Drill 19,95Y01084,CAT,7346.425,3508,1800,,688,,6.88,257,967,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 19,Drill 19,95Y01084,CAT,7346.425,3508,1800,,688,,6.89,251,982,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 25,Drill 25,97Y00735,CAT,565.425,3508,1800,,688,,6.72,255,908,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 25,Drill 25,97Y00735,CAT,565.425,3508,1800,,688,,6.73,241,867,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 28,Drill 28,95Y01184,CAT,23719.425,3508,1800,,688,,7.19,207,860,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 28,Drill 28,95Y01184,CAT,23719.425,3508,1800,,688,,7.15,202,860,0,,,Black Thunder,Arch Coal,5/28/2019
Drill 19,Drill 19,95Y01084,CAT,7493.502,3508,1800,,688,,7.16,292,936,0,,,Black Thunder,Arch Coal,5/30/2019
Drill 19,Drill 19,95Y01084,CAT,7494,3508,1800,,688,,7.35,332,979,0,,,Black Thunder,Arch Coal,5/30/2019
Drill 25,Drill 25,97Y00735,CAT,711.502,3508,1800,,688,,6.25,203,934,0,,,Black Thunder,Arch Coal,5/30/2019
Drill 25,Drill 25,97Y00735,CAT,712.502,3508,1800,,688,,6.91,221,921,0,,,Black Thunder,Arch Coal,5/30/2019
Drill 28,Drill 28,95Y01184,CAT,23844.502,3508,1800,,688,,6.6,178,884,0,,,Black Thunder,Arch Coal,5/30/2019
Drill 28,Drill 28,95Y01184,CAT,23845.502,3508,1800,,688,,7.08,272,837,0,,,Black Thunder,Arch Coal,5/30/2019
Drill 25,Drill 25,97Y00735,CAT,950.509,3508,1800,,688,,6.4,211,891,0,0,0,Black Thunder,Arch Coal,5/30/2019
Drill 25,Drill 25,97Y00735,CAT,951.509,3508,1800,,688,,6.4,210,883,0,0,0,Black Thunder,Arch Coal,5/30/2019
Drill 28,Drill 28,95Y01184,CAT,23920.509,3508,1800,,688,,7.08,248,875,0,0,0,Black Thunder,Arch Coal,5/30/2019
Drill 28,Drill 28,95Y01184,CAT,23921.509,3508,1800,,688,,7.13,203,885,0,0,0,Black Thunder,Arch Coal,5/30/2019
Drill 19,Drill 19,95Y01084,CAT,7616.516,3508,1800,,688,,6.84,266,1321,0,,,Black Thunder,Arch Coal,5/30/2019
Drill 19,Drill 19,95Y01084,CAT,7617.516,3508,1800,,688,,9.97,250,1331,0,,,Black Thunder,Arch Coal,5/30/2019
Drill 25,Drill 25,97Y00735,CAT,998.516,3508,1800,,688,,7.09,287,884,0,,,Black Thunder,Arch Coal,5/30/2019
Drill 25,Drill 25,97Y00735,CAT,999.516,3508,1800,,688,,7.05,252,876,0,0,0,Black Thunder,Arch Coal,5/30/2019
Drill 28,Drill 28,95Y01184,CAT,24015.516,3508,1800,,688,,7.16,237,820,0,,,Black Thunder,Arch Coal,5/30/2019
Drill 28,Drill 28,95Y01184,CAT,24016.516,3508,1800,,688,,7.25,242,808,0,,,Black Thunder,Arch Coal,5/30/2019
Drill 19,Drill 19,95Y01084,CAT,7751.523,3508,1800,,688,,6.84,300,1350,0,,,Black Thunder,Arch Coal,5/30/2019
Drill 19,Drill 19,95Y01084,CAT,7752.523,3508,1800,,688,,7.02,287,1387,0,,,Black Thunder,Arch Coal,5/30/2019
Drill 25,Drill 25,97Y00735,CAT,1113.523,3508,1800,,688,,6.75,227,892,0,,,Black Thunder,Arch Coal,5/30/2019
Drill 28,Drill 28,95Y01184,CAT,24055.523,3508,1800,,688,,6.79,167,854,0,,,Black Thunder,Arch Coal,5/30/2019
Drill 28,Drill 28,95Y01184,CAT,24056.523,3508,1800,,688,,7.19,198,879,0,,,Black Thunder,Arch Coal,5/30/2019
Drill 19,Drill 19,95Y01084,CAT,8435,3508,1800,,688,,7.95,525,973,0,,,Black Thunder,Arch Coal,7/15/2019
Drill 19,Drill 19,95Y01084,CAT,8436,3508,1800,,688,,7.62,471,985,0,,,Black Thunder,Arch Coal,7/15/2019
Drill 25,Drill 25,97Y00735,CAT,1739,3508,1800,,688,,7.45,367,907,0,,,Black Thunder,Arch Coal,7/15/2019
Drill 25,Drill 25,97Y00735,CAT,1740,3508,1800,,688,,7.23,334,852,0,,,Black Thunder,Arch Coal,7/15/2019
Drill 28,Drill 28,95Y01184,CAT,24740,3508,1800,,688,,7.35,242,805,0,,,Black Thunder,Arch Coal,7/15/2019
Drill 28,Drill 28,95Y01184,CAT,24741,3508,1800,,688,,7.44,269,801,0,,,Black Thunder,Arch Coal,7/15/2019
Drill 19,Drill 19,95Y01084,CAT,8821.718,3508,1800,,688,,7.65,388,968,0,0,0,Black Thunder,Arch Coal,8/8/2019
Drill 19,Drill 19,95Y01084,CAT,8822.718,3508,1800,,688,,7.43,415,953,0,,,Black Thunder,Arch Coal,8/8/2019
Drill 19,Drill 19,95Y01084,CAT,2101.718,3508,1800,,688,,6.11,2578,761,0,,,Black Thunder,Arch Coal,8/8/2019
Drill 19,Drill 19,95Y01084,CAT,2102.718,3508,1800,,688,,7.32,343,886,0,,,Black Thunder,Arch Coal,8/8/2019
Drill 25,Drill 25,97Y00735,CAT,2101.718,3508,1800,,688,,6.11,257,761,0,0,0,Black Thunder,Arch Coal,8/8/2019
Drill 25,Drill 25,97Y00735,CAT,2102.718,3508,1800,,688,,7.32,343,886,0,,,Black Thunder,Arch Coal,8/8/2019
Drill 28,Drill 28,95Y01184,CAT,25175.718,3508,1800,,688,,7.37,272,859,0,,,Black Thunder,Arch Coal,8/8/2019
Drill 28,Drill 28,95Y01184,CAT,25176.718,3508,1800,,688,,7.56,229,850,0,,,Black Thunder,Arch Coal,8/8/2019
Drill 19,Drill 19,95Y01084,CAT,9141.802,3508,1800,,688,,7.26,375,873,0,,,Black Thunder,Arch Coal,8/8/2019
Drill 19,Drill 19,95Y01084,CAT,9141.802,3508,1800,,688,,7.24,340,852,0,,,Black Thunder,Arch Coal,8/8/2019
Drill 25,Drill 25,97Y00735,CAT,2400.802,3508,1800,,688,,7.01,287,837,0,,,Black Thunder,Arch Coal,8/8/2019
Drill 25,Drill 25,97Y00735,CAT,2401.802,3508,1800,,688,,7.22,297,895,0,,,Black Thunder,Arch Coal,8/8/2019
Drill 28,Drill 28,95Y01184,CAT,25474.802,3508,1800,,688,,7.45,291,772,0,,,Black Thunder,Arch Coal,8/8/2019
Drill 28,Drill 28,95Y01184,CAT,25475.802,3508,1800,,688,,7.5,292,791,0,,,Black Thunder,Arch Coal,8/8/2019
Drill 19,Drill 19,95Y01084,CAT,9724.822,3508,1800,,688,,7.23,363,882,0,,,Black Thunder,Arch Coal,8/26/2019
Drill 19,Drill 19,95Y01084,CAT,9725.822,3508,1800,,688,,7.25,368,877,0,,,Black Thunder,Arch Coal,8/26/2019
Drill 25,Drill 25,97Y00735,CAT,3000.822,3508,1800,,688,,7.02,285,805,0,,,Black Thunder,Arch Coal,8/26/2019
Drill 25,Drill 25,97Y00735,CAT,3001.822,3508,1800,,688,,6.96,277,822,0,,,Black Thunder,Arch Coal,8/26/2019
Drill 28,Drill 28,95Y01184,CAT,26072.822,3508,1800,,688,,7.22,329,765,0,,,Black Thunder,Arch Coal,8/26/2019
Drill 28,Drill 28,95Y01184,CAT,26073,3508,1800,,688,,7.21,317,775,0,,,Black Thunder,Arch Coal,8/26/2019
Drill 19,Drill 19,95Y01084,CAT,9741,3508,1800,,688,,7.05,310,907,0,,,Black Thunder,Arch Coal,9/6/2019
Drill 19,Drill 19,95Y01084,CAT,9742,3508,1800,,688,,7.04,314,899,0,,,Black Thunder,Arch Coal,9/6/2019
Drill 25,Drill 25,97Y00735,CAT,2982.83,3508,1800,,688,,6.68,223,894,0,,,Black Thunder,Arch Coal,9/6/2019
Drill 25,Drill 25,97Y00735,CAT,2983.83,3508,1800,,688,,6.5,218,891,0,,,Black Thunder,Arch Coal,9/6/2019
Drill 28,Drill 28,95Y01184,CAT,26086.83,3508,1800,,688,,7.38,341,867,0,,,Black Thunder,Arch Coal,9/6/2019
Drill 28,Drill 28,95Y01184,CAT,26087.83,3508,1800,,688,,7.49,340,883,0,,,Black Thunder,Arch Coal,9/6/2019
HT634,Komatsu 930,,Cummins,672,QSK60,1909,1909,2300,2300,8.13,325,801,8.11,310,845,Goldstrike,Barrick Gold,3/15/2017
HT 639,Komatsu 930,,Cummins,12753,QSK60,1903,1903,2300,2300,8.12,335,833,8.1,318,829,Goldstrike,Barrick Gold,3/15/2017
HT617,Komatsu 930,,MTU,7321,16V-4000,1910,1910,2580,2580,9.63,838,1486,9.91,918,2177,Goldstrike,Barrick Gold,3/15/2017
HT624,Komatsu 930,,MTU,15926,16V-4000,1900,1900,2335,2335,8.29,858,1402,7.26,580,1645,Goldstrike,Barrick Gold,3/15/2017
HT628,Komatsu 930,,MTU,680,MTU 16V-4000 - Tier4,1971,1971,2315,2315,8.36,185,479,8.42,169,474,Goldstrike,Barrick Gold,3/15/2017
HT001,,,MTU,2000,16V-4000,1200,0,149,0,18,10,12,24,14,14,DemoCO,DemoCO,2/17/2023
Komatsu #305,Komatsu 730E,Cummins #33166273,Cummins,20000,K2000,1900,1900,1691,1691,10.95,549,927,11.49,932,851,Morocco,OCP,10/31/2017
Komatsu #329,Komatsu 730E,Cummins #33194888,Cummins,27000,K2000,1900,1900,1750,1750,9.42,310,731,9.11,268,879,Morocco,OCP,10/31/2017
Komatsu #325,Komatsu  730E,Cummins# 33194452,Cummins,27000,K2000,1900,1900,1750,1750,8.4,299,836,8.75,673,614,Morocco,OCP,10/31/2017
Komatsu #322,Komatsu 703E,Cummins #33193506,Cummins,27000,K2000,1900,1900,1750,1750,9.41,246,849,10.37,439,710,Morocco,OCP,10/31/2017
Komatsu #310,Komatsu 730E,Cummins #33169142,Cummins,17000,K2000,1900,1900,1750,1750,9.89,477,952,10.61,688,852,Morocco,OCP,10/31/2017
Komatsu #302,Komatsu 730E,Cummins #33174169,Cummins,34000,K2000,1900,1900,1750,1750,12.43,1510,678,11.75,2216,145,Morocco,OCP,10/31/2017
Unit Rig #213,Unit Rig MT3700B,Cummins #33204672,Cummins,15000,K2000,1900,1900,1750,1750,10.05,477,662,10.5,1102,1005,Morocco,OCP,11/1/2017
Unit Rig #217,Unit Rig MT3700B,Cummins  #33204932,Cummins,10000,K2000,1900,1900,1750,1750,9.42,237,912,9.05,175,1025,Morocco,OCP,11/1/2017
Hitachi #004,Hitachi EH3500AC-3,Cummins #33207197,Cummins,10000,QSK50,1900,1900,1750,1750,11.81,483,497,10.93,325,689,Morocco,OCP,11/1/2017
Hitachi #001,Hitachi EH3500AC-3,Cummins #33201399,Cummins,10000,QSK50,1900,1900,1750,1750,10.18,365,659,10.4,265,574,Morocco,OCP,11/1/2017
Belaz #100,Belaz 7518,Cummins #3320888,Cummins,1200,QSK50,1900,1900,1750,1750,8.59,165,496,8.76,325,483,Morocco,OCP,11/3/2017
Belaz #101,Belaz 7518,Cummins  #33208871,Cummins,1200,QSK50,1900,1900,1750,1750,8.87,535,425,9.09,403,407,Morocco,OCP,11/3/2017
Belaz #102,Belaz 7518,Cummins #33208873,Cummins,1200,QSK50,1900,1900,1750,1750,9.43,294,629,9.83,361,505,Morocco,OCP,11/3/2017
