Vehicle #,Vehicle Model,Vehicle Serial #,Engine Make,Engine Hours,Engine Model,Engine RPM,Alternator RPM,Engine HP,Alternator HP,Left-CO2%,Left-CO,Left-NOx,Right-CO2%,Right-CO,Right-NOX,LoCaterpillarion,Company,Test Date,Test Method
Drill 19,Drill 19,95Y01084,Caterpillarerpillar,5000.32,3508,1800,Not measured,688,Not measured,6.9,299,980,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
Drill 28,Drill 28,95Y01184,Caterpillar,23400.32,3508,1800,Not measured,688,Not measured,6.9,217,917,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
Drill 25,Drill 25,97Y00735,Caterpillar,26.329,3508,1800,Not measured,688,Not measured,6.9,202,970,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
Drill 19,Drill 19,95Y01084,Caterpillar,5077.404,3508,1800,Not measured,688,Not measured,6.9,319,981,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
Drill 19,Drill 19,95Y01084,Caterpillar,5077.404,3508,1800,Not measured,688,Not measured,6.9,281,870,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
Drill 25,Drill 25,97Y00735,Caterpillar,146.404,3508,1800,Not measured,688,Not measured,6.9,230,896,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
Drill 25,Drill 25,97Y00735,Caterpillar,146.404,3508,1800,Not measured,688,Not measured,6.9,212,902,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
Drill 28,Drill 28,95Y01184,Caterpillar,23484.404,3508,1800,Not measured,688,Not measured,6.9,213,840,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
Drill 28,Drill 28,95Y01184,Caterpillar,23484.404,3508,1800,Not measured,688,Not measured,6.9,195,850,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
Drill 19,Drill 19,95Y01084,Caterpillar,7074.411,3508,1800,Not measured,688,Not measured,6.9,219,930,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
Drill 19,Drill 19,95Y01084,Caterpillar,7074.411,3508,1800,Not measured,688,Not measured,6.9,201,915,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
Drill 25,Drill 25,97Y00735,Caterpillar,212.411,3508,1800,Not measured,688,Not measured,6.9,171,931,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
Drill 25,Drill 25,97Y00735,Caterpillar,212.411,3508,1800,Not measured,688,Not measured,6.9,155,890,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
Drill 28,Drill 28,95Y01184,Caterpillar,23504.411,3508,1800,Not measured,688,Not measured,6.9,141,850,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
Drill 28,Drill 28,95Y01184,Caterpillar,23504.411,3508,1800,Not measured,688,Not measured,6.9,128,850,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
Drill 19,Drill 19,95Y01084,Caterpillar,7188.417,3508,1800,Not measured,688,Not measured,6.9,246,959,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
Drill 19,Drill 19,95Y01084,Caterpillar,7188.417,3508,1800,Not measured,688,Not measured,6.9,246,959,Single Stack,Single Stack,Single Stack,Black Thunder,Arch Coal,5/28/2019,Manual
