code,filename,date,time,percent_load,rpm,coolant_temperature,right_exhaust_temperature,left_exhaust_temperature,throttle_position,system_voltage,oil_pressure_psi,boost_psi,filter_oil_pressure,smoke_setting,intake_air_temperature,fuel_temperature,fuel_gallons_per_hour,lifetime_fuel_consumption,lifetime_operating_hours,fuel_rate,lifetime_idle_hours,lifetime_idle_fuel,nox_ppm,co2_percent,o2_percent,oil_temperature,oil_condition,co,hydrocarbons,heater_voltage,heater_current,fuel_level_percent,fuel_gallons,truck_payload_tons,truck_miles_traveled,Load,LoadCnt,Fueling,Max,Min,Gal,Truck Hrs,Idle Hrs,Run Hrs,Idle Hrs,Idle%,Miles,Run Miles,Tons,Loads,TMG
redmond_ht4,18020506.csv,2/5/2018,6:27:30,35,702,73,356,370,0,28,73.805,0.145,86.42,0,59.36,59.36,5.9664,81466,6130.7,4,2143.9,4457.2,1760.5,9.491,8.809,32,1.4,0,0,0,0,66.28,138,0,52466,0,0,,,,,,,,,,,,,,
redmond_ht4,18020506.csv,2/5/2018,6:27:40,46,733,78,356,370,0,28,73.805,0.145,86.42,0,59.36,59.36,5.9664,81466,6130.7,4,2143.9,4457.2,1399,6.768,11.532,32,1.4,0,0,0,0,66.385,138,0,52466,0,0,,,,,,,,,,,,,,
redmond_ht4,18020506.csv,2/5/2018,6:27:50,46,733,78,519,516,0,28,73.805,0.145,86.42,0,59.36,59.36,5.9664,81466,6130.7,4,2143.9,4457.2,763.08,8.145,10.155,32,1.4,0,0,0,0,66.08,138,0,52466,0,0,,,,,,,,,,,,,,
redmond_ht4,18020506.csv,2/5/2018,6:28:00,46,733,78,519,516,41.2,27.5,73.805,0.145,86.42,0,59.36,59.36,5.9664,81466,6130.7,4,2143.9,4457.2,722.97,6.321,11.979,32,1.4,0,0,0,0,64.885,134,0,52466,0,0,,,,,,,,,,,,,,
redmond_ht4,18020506.csv,2/5/2018,6:28:10,46,733,78,519,516,41.2,27.5,89.103,7.105,100.85,0,59.54,60.98,14.744,81466,6130.7,4,2143.9,4457.2,462.38,3.926,14.374,32,1.4,0,0,0,0,64.25,134,0,52466,0,0,,,,,,,,,,,,,,
redmond_ht4,18020506.csv,2/5/2018,6:28:20,46,733,78,519,516,41.2,27.5,89.103,7.105,100.85,0,59.54,60.98,14.744,81466,6130.7,57.5,2143.9,4457.2,362.67,0.139,18.161,32,1.4,0,0,0,0,63.185,132,0,52466,0,0,,,,,,,,,,,,,,
redmond_ht4,18020506.csv,2/5/2018,6:28:30,46,733,78,519,516,41.2,27.5,89.103,7.105,100.85,0,59.54,60.98,14.744,81466,6130.7,57.5,2143.9,4457.2,169.38,0.433,17.867,32,1.4,0,0,0,0,64.79,134,0,52466,0,0,,,,,,,,,,,,,,
redmond_ht4,18020506.csv,2/5/2018,6:28:40,24,1383,78,519,516,41.2,27.5,89.103,7.105,100.85,0,59.54,60.98,14.744,81466,6130.7,57.5,2143.9,4457.2,830.83,4.668,13.632,32,1.4,0,0,0,0,65.63,136,0,52466,0,0,,,,,,,,,,,,,,
redmond_ht4,18020506.csv,2/5/2018,6:28:50,24,1383,87,593,617,41.2,27.5,89.103,7.105,100.85,0,59.54,60.98,14.744,81466,6130.7,57.5,2143.9,4457.2,869.46,7.018,11.282,32,1.4,0,0,0,0,64.36,134,0,52466,0,0,,,,,,,,,,,,,,
redmond_ht4,18020506.csv,2/5/2018,6:29:00,24,1383,87,593,617,58,27.5,86.275,11.89,98.745,0,59.54,60.98,14.744,81466,6130.7,57.5,2143.9,4457.2,782.56,6.223,12.077,32,1.4,0,0,0,0,63.79,132,0,52466,0,0,,,,,,,,,,,,,,
